_name_,_date_,_ageGroup_,_sex_,_userCategory_,_loyality_,_conditionInfo_,_Satisfaction_,_Effectiveness_,_EaseofUse_,_helpful_,_comment_
redbear,9/29/2016 16:38,(35-44),,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,0,I have add combine type  like most that have to be on medication when I start doing well I don't think I need it anymore. With Adderall I have been able to adjust my dosage as needed with dr approval of course but somedays I don't need to full amount. with add I feel like my brain is misfiring like with a car. With Adderall I feel its firing in the right direction atleast so I have the ability to function on all my cylinders if I need to. I don't want to switch to a different medication this one works great with my body chemistry
,8/24/2016 23:35,(35-44),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,2,2,2,2,Cant breathe
,8/24/2016 20:01,(65-74),,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,4,5,5,6,This drug has been a big help with my ADHD and negative moods.  I've been taking it for about 3 months and am now suffering from some of the side effects.  I become very tired a short time after taking my first dose and very run down.  I also find my self becoming mixed up and my memory also suffers.  I won't stop taking it because it does calm me down and allows me focus.  I take it when I am going to be in public.  At home I sometimes skip it just for a break and to bring back my mental clarity.
Momof3,8/16/2016 17:42,(25-34),,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,1,3,3,9,BEWARE!! This medicine is dangerous!! I was a 20mg of Addreal once a day for five years and it worked with no problems.  Within those five years I got pregnant and when off my meds during pregnancy. Two months After the birth of my last child  I re-started my medicine and for some reason it didn't help as it did before. So I self-Medicaid  and take another pill.... Long story short  I became  dependent on the medication and could not go without it. I very quickly became addicted and started taking more and more. My mood changed  I was very   Aggressive and mean always yelling at my family my children would be scared of me I would lose my temper very quickly. Also This lead to no sleep  not eating  I became too thin  my hair started to fall out and became very thin and stringy. My husband didn't know what to think  and I became someone I didn't even know. I almost got my children taken away and a divorce.... Mortal of the story it changed my life upside down and I had to stop taking it!!! I have been working with my doctors and now I'm on vyvanse along with depression medicine and it works great!! Not addicting at all and helps me get my daily tasks done  care for my family and I'm finally getting back to myself
krissy2696,8/1/2016 12:23,(35-44),Female,Patient,5 to less than 10 years,Other,5,5,5,1,I have suffered with ADD for the majority of my life. It was very hard to stay on task. I went years undiagnosed. Now I'm able to stay focused at work  sit and read a book without distraction  and accomplish tasks I start and actually finish.
,7/28/2016 3:48,(19-24),,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,5,5,5,1,
boo boo,7/1/2016 11:55,(35-44),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,5,5,5,5,
Brimanny,6/7/2016 22:07,(25-34),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,4,5,9,Adderall has been the most effective for me. I take 30 mg a day and it is perfect to get through the work way with the necessary focus and attention. It has also helped with my frustration issues with staff. I now have the ability to think clearly before I speak  and that has been a welcome change for my coworkers and subordinate staff!
Me,5/4/2016 13:10,(55-64),,None,5 to less than 10 years,Recurring Sleep Episodes During the Day,5,5,5,0,Until I was placed on this medication  I found myself falling asleep just two hours after having a 10 hour night's sleep. I could not stay awake. After several tests  I was placed on Adderall oral. Two pills a day. A strong one upon awakening  I believe it was time released. A smaller dosage around 2 or 3 pm. I had no trouble sleeping. In fact it truly improved my life. I no longer have insurance coverage and had to ween myself from the medication. The quoted cost for this med is at least $800 a month in Co. and just under $400 in Wy. I cannot afford the out of pocket cost. Now  I am sleeping 16 hours a day and sometimes still opt for a nap. As you can see  without this medication  I am sleeping my life away. I wish it was more affordable. I really miss it.
DCC,4/20/2016 16:37,(55-64),Male,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,2,3,2,5,Taking twice a day but the second dose  even taken early afternoon  made it hard to get to sleep at night. Sometimes I would skip the second daily dose to get some sleep. it didn't seem to last very long. Maybe an hour or two as far as attention improvement. Causes continuous jaw clanching and movement.
Smalloni,4/1/2016 12:33,(55-64),Female,Caregiver,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,1,3,1,23,My son was changed from Ritalin to Adderall at age 13. After a short while of being on Adderall he became very angry and defiant. We thought that since he was going through puberty & dealing with ADHD that he was just having a rough time dealing with the chemistry changing in his body. As time went on he became more aggressive threatening to stab his father with a butcher knife & constantly going up against his dad & peers at school. He distroyed things in his path & punched holes in the walls of our home  yelling & cursing when anyone rubbed him the wrong way. The slightest things would set him off into fits of rage. He took on multiple personalities one being very evil as if Satan's son. He was a Jeckyll & Hyde.  This went on for 4 years as the dosage was increased because of his high tolerance to Adderall. After being in support groups & reading up I discovered other we're experiencing these very same side affects. I demanded the doctor to take him off of it and since he's been off of it for 6 months now & almost instantly I got my sweet boy back. I read that Adderall was like taking crystal meth. This medicine needs to be removed from the market permanently in my opinion. He was in & out of the hospital 4 times in a 3 months time frame. Not once had the doctors ever try taking him off the Adderall. All they did was ginnea pig him pumping him full of antipsychotic meds. He ended up for the first time in his life getting in trouble with the police for assault on an officer  resisting arrest & interfering with police business. Adderall is a very dangerous medication. If you benefit from it without the bad side affects  then that is good. If not  I would not take this medication.
waz,3/14/2016 15:17,(25-34),Male,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,4,5,4,12,Lit
Lagunagrl,3/7/2016 15:57,(55-64),,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,2,3,3,10,I started adderall in mid-2013. I felt I couldn't function w/out it even though my jaws were clenched more often than not. A few weeks ago I ended up in the ER with a blood pressure way too high and heart palpitations. The psychiatrist who prescribed this med for me had given me a 6 to 8 question survey for ADHD. THAT was the extent of her diagnosis. Never asked how my BP was or what other meds I was taking. I believe she is a source of adderall for students who attend university about a half-mile from her practice. She presents put together but I think she's missing a screw when it comes to being a smart and engaged psychiatrist.
WorriedWarrior,3/3/2016 17:56,(45-54),Female,Caregiver,6 months to less than 1 year,Other,1,3,5,2,"My story is a tad different. I work online with addicts  so have a warning for parents.
I am very concerned about the popular misuse of this drug by students. It enhances focus for studying but is very addictive. Many drug addicts promote it to their peers  and also tell them what to add to improve the 'rush'.
Please - don't let your children use this unless it is vital and justified  such as for narcolepsy or ADHD. And  if your child is addicted  defiant and refusing rehab  please learn to help him or her via e.g. an online course for parents with addict children such as Parent CRAFT (cadenceonline.com). I know I might sound like a crazy lady  but this drug is being widely abused by students and too many health care professionals prescribe it without caring about consequences."
,2/21/2016 22:35,(55-64),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,1,1,4,7,30 mg brand name only 30 dp other side does nothing  if anything make me ancious. I want to know who make the brand name not generic with all the fillers  and salt?
brooke26,2/6/2016 23:21,(25-34),Female,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,51,"I have been taking Adderall for over about 17 years. Without this medication I would never have graduated high school  college  and be working on my second degree. Sometimes medication is the only option for those who try everything possible first. This drug is nothing to play with  it takes precise clock work  discipline and knowledge. You have to ensure you are keeping your body healthy when taking it. Yes  it does have side effects but yes it does work great for those who need this type of chemical balance. If you want to prevent the ""rush"" as some report  EAT first. Then  make sure you drink more than the minimum amount of water a day. I literally drink about 10 waters a day. Stay away from caffeine and make sure to NEVER take this med. at night unless you don't plan on sleeping  which is another thing to make sure you are getting enough of. A balanced diet  sleep  and overall life routine is important. I also wouldn't recommend you take it if you are going to a social event  because like me I'm not the socialist butterfly on it when I would normally talk an ear off. With proper care and balance this is the answer for most. It is my answer and I'm more than thankful I have gotten as far as I have and I am thankful for its creation. I hope this helps some and also to the mothers  when your child is on this med. it's best to leave them alone. They just want to focus and most likely won't want to eat. It's just how it made me and when they are ""coming down"" they will need something to pick them up..it's a horrible crash on the XR(extended release caps 8hr). I usually drink a soda or a coffee. Sometimes I will even take a 1/2 of my instant release(4 hr tabs) if I have school work still to help ease the crashing. Lots of water to prevent headaches and time the pills. I don't get the full 8 hours that some would  I'm about 4 hours and I begin to fade. My doctor has me prescribed 1 8hr cap in am(7am) and then by 12pm one 4hrtab  4pm one 4hrtab. single mom so long day"
SnoozyDoozy,2/5/2016 23:27,(25-34),Female,Patient,6 months to less than 1 year,Recurring Sleep Episodes During the Day,4,4,4,1,After trying several other stimulants to treat my excessive daytime sleepiness due to Narcolepsy  I was put on Adderall XR. It is the only one that seemed to help me stay awake during the day. The only problem I have with this Rx is that you build up a tolerance to it.
Ella Leeds,1/20/2016 18:01,(13-18),,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,2,5,5,19,I've been on this medication since I was only 5 years old  I'm now 16. I started taking it because I couldn't focus/was very disruptive in Kindergarten. I stopped taking it when I was around 13/14 and went back on when I was 15. When I'm on the pill it really does help me focus  but sometimes I'm so focused that I get lost in what's happening around me. I can say that I'm more effective using it  but the side effects are terrible! Always feeling the need to throw up  not being able to eat  always dead tired by the end of the day  being unbelievably shaky and nervous for no reason  and it also links to depression. If you don't take the pill for a week or so it hits you hard
meme,1/6/2016 13:02,(55-64),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,11,with out it i would never be able to complete any tasks.
pb balmes,12/20/2015 4:14,(55-64),Male,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,7,It keeps me alive. Now I'm required to seek treatment from a shrink!  Why?  All I have is Medicare and $hrink$ wont use it.  I give up.  Help  please.
